Source,Target
George Keith,Robert Barclay
George Keith,Benjamin Furly
George Keith,Anne Conway Viscountess Conway and Killultagh
George Keith,Franciscus Mercurius van Helmont
George Keith,William Penn
George Keith,George Fox
George Keith,George Whitehead
George Keith,William Bradford
James Parnel,Benjamin Furly
James Parnel,Stephen Crisp
Peter Collinson,John Bartram
Peter Collinson,James Logan
Joseph Wyeth,Thomas Ellwood
Alexander Skene of Newtyle,Lilias Skene
Dorcas Erbery,James Nayler
William Mucklow,George Fox
Franciscus Mercurius van Helmont,Benjamin Furly
William Dewsbury,Edward Burrough
William Dewsbury,John Crook
John Audland,John Camm
John Audland,Francis Howgill
John Audland,Edward Pyott
John Audland,Charles Marshall
John Audland,Anne Camm
Francis Howgill,Martha Simmonds
Francis Howgill,James Nayler
Francis Howgill,Edward Burrough
Francis Howgill,Richard Farnworth
Francis Howgill,William Crouch
William Bradford,William Penn
William Bradford,Tace Sowle
John Bellers,Fettiplace Bellers
William Rogers,Thomas Ellwood
William Rogers,George Whitehead
Martha Simmonds,Hannah Stranger
Martha Simmonds,James Nayler
Isabel Yeamans,William Penn
George Fox the younger,Margaret Fell
George Fox,Ellis Hookes
George Fox,Elizabeth Hooten
George Fox,James Nayler
George Fox,John Wilkinson
George Fox,Thomas Ellwood
George Fox,William Coddington
George Fox,John Stubbs
George Fox,John Perrot
George Fox,Leonard Fell
John Stubbs,Benjamin Furly
John Stubbs,William Caton
John Stubbs,Samuel Fisher
John Stubbs,John Burnyeat
John Camm,Charles Marshall
John Camm,Thomas Camm
John Camm,Edward Pyott
Thomas Camm,John Story
Thomas Camm,Anne Camm
John Wilkinson,Charles Marshall
John Wilkinson,Solomon Eccles
John Wilkinson,John Story
John Wilkinson,Alexander Parker
Isaac Norris,William Penn
John Swinton,David Barclay of Ury
James Nayler,Hannah Stranger
James Nayler,Gervase Benson
James Nayler,Margaret Fell
James Nayler,Richard Farnworth
James Nayler,George Whitehead
James Nayler,John Perrot
James Nayler,Robert Rich
James Nayler,Anthony Pearson
James Nayler,Thomas Ellwood
James Nayler,Edward Burrough
James Nayler,Rebecca Travers
James Nayler,William Tomlinson
Anthony Sharp,Samuel Clarridge
Anthony Sharp,Thomas Curtis
Anthony Sharp,William Edmundson
Thomas Salthouse,Margaret Fell
William Ames,William Caton
Mary Fisher,John Perrot
Mary Fisher,Mary Prince
Lydia Lancaster,Grace Chamber
Henry Pickworth,Francis Bugg
Samuel Clarridge,James Claypoole
Francis Bugg,George Whitehead
Thomas Lower,Margaret Fell
Sarah Gibbons,Dorothy Waugh
Gervase Benson,Anthony Pearson
Stephen Crisp,William Caton
Stephen Crisp,Benjamin Furly
John Freame,David Barclay
Humphrey Norton,John Rous
William Gibson,Thomas Holme
Gideon Wanton,John Wanton
William Mead,Margaret Fell
Benjamin Furly,Robert Barclay
Benjamin Furly,Alexander Parker
Benjamin Furly,William Caton
Benjamin Furly,William Penn
James Logan,John Bartram
James Logan,William Penn
James Logan,David Lloyd
Mary Prince,John Perrot
Edward Haistwell,William Penn
John ap John,John Burnyeat
John Crook,John Perrot
John Crook,Edward Burrough
Gilbert Latey,Edward Burrough
Gilbert Latey,George Whitehead
Richard Hubberthorne,George Whitehead
Richard Hubberthorne,Richard Farnworth
Joseph Besse,Richard Claridge
Joseph Besse,Samuel Bownas
George Whitehead,Alexander Parker
George Whitehead,John Whitehead
George Whitehead,Daniel Quare
George Whitehead,William Penn
George Whitehead,John Story
George Whitehead,Rebecca Travers
Silvanus Bevan,Daniel Quare
Solomon Eccles,John Story
Robert Rich,William Tomlinson
John Burnyeat,William Edmundson
John Burnyeat,William Penn
Katharine Evans,Sarah Cheevers
Edward Burrough,John Perrot
Edward Burrough,Thomas Ellwood
Edward Burrough,William Crouch
John Whiting,Christopher Taylor
Rebecca Travers,Alice Curwen
Rebecca Travers,William Penn
William Caton,Margaret Fell
Thomas Lawson,Margaret Fell
Thomas Lawson,Alexander Parker
Richard Farnworth,John Perrot
Richard Farnworth,Margaret Fell
Richard Farnworth,Anthony Pearson
Thomas Taylor,Christopher Taylor
John Penington,Mary Penington
Humphrey Woolrich,Mary Pennyman
William Penn,Tace Sowle
William Penn,James Claypoole
William Penn,Thomas Story
William Penn,Mary Penington
William Penn,David Lloyd
William Penn,Margaret Fell
William Penn,Richard Claridge
Richard Vickris,George Bishop
Robert Barclay,David Barclay of Ury
Jane Sowle,Tace Sowle
Margaret Fell,Alexander Parker
Margaret Fell,Elizabeth Leavens
Margaret Fell,Anthony Pearson
Elizabeth Leavens,Thomas Holme
Lewis Morris,Sir Charles Wager
Mary Penington,Thomas Curtis
Mary Penington,Thomas Ellwood
Thomas Curtis,Thomas Ellwood
Thomas Curtis,William Simpson
Thomas Curtis,John Story
Alexander Parker,Sir Charles Wager
John Story,Thomas Ellwood
Thomas Aldam,Anthony Pearson
Sir Charles Wager,James Nayler
Jane Sowle,Sir Charles Wager
John Penington,Sir Charles Wager
Solomon Eccles,Sir Charles Wager
Christopher Taylor,Thomas Aldam
John Bellers,Mary Fisher
John Bellers,Katharine Evans
Sarah Cheevers,John Rous
John Rous,Mary Pennyman
David Barclay,Mary Pennyman
Mary Pennyman,Katharine Evans
Mary Pennyman,John Bellers
Katharine Evans,John Wanton
Sarah Gibbons,Katharine Evans
Sarah Gibbons,David Barclay
George Bishop,David Barclay
George Bishop,Katharine Evans
George Bishop,Sarah Cheevers
Richard Vickris,Alexander Skene of Newtyle
Richard Vickris,Katharine Evans
David Barclay,Alexander Skene of Newtyle
Anne Conway Viscountess Conway and Killultagh,John Wanton
Lilias Skene,Sarah Gibbons
Fettiplace Bellers,Sarah Gibbons
Gilbert Latey,Sarah Gibbons
Fettiplace Bellers,Katharine Evans
Anne Conway Viscountess Conway and Killultagh,Mary Prince
Lilias Skene,Mary Prince
Lilias Skene,Edward Pyott
Thomas Taylor,Grace Chamber
Lydia Lancaster,Humphrey Norton